title,genres,keywords
Logan,Action Drama Science Fiction,future experiment immortality self-destruction cyborg dystopia superhero mutant road trip based on comic sequel super power neo-western troubled past aging superhero life on the margin
Finding Nemo,Animation Family,sydney australia parent child relationship anthropomorphism harbor underwater shark pelican fish tank great barrier reef sea turtle missing child aftercreditsstinger duringcreditsstinger short term memory loss clownfish father son reunion protective father
It,Horror Fantasy,small town based on novel or book clown bullying abandoned house coming of age flashback murder balloon maine school creature fear summer killer missing person death of brother well child demonic town history anxious intense
John Wick,Action Thriller,hitman bratva (russian mafia) gangster secret organization revenge murder dog retired widower
Fantastic Beasts and Where to Find Them,Fantasy Adventure Family,witch new york city robbery escape teleportation magic suitcase mistake spin off subway station central park wizard goblin magical creature 1920s wizarding world
Harry Potter and the Deathly Hallows: Part 1,Adventure Fantasy,witch friendship london england corruption escape teleportation isolation magic bravery radio road trip shelter tension attack werewolf road movie wizard christmas based on young adult novel wizarding world
Coco,Family Animation Fantasy Music Comedy Adventure,skeleton mexico guitar afterlife musician holiday singer life after death child day of the dead pixar
Captain America: The Winter Soldier,Action Adventure Science Fiction,future washington dc usa superhero shield based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) political thriller
Spider-Man,Fantasy Action,new york city adolescence photographer loss of loved one photography secret identity hostility superhero spider bad boss villain based on comic teenage boy teenage love evil super villain taking responsibility
WALL·E,Animation Family Science Fiction,garbage dystopia space travel distant future loneliness robot aftercreditsstinger duringcreditsstinger
Gone Girl,Mystery Thriller Drama,infidelity based on novel or book wife marriage crisis investigation disappearance psychological thriller whodunit missing person search party criminal lawyer murder suspect missing wife perspective manipulative woman killed during sex dramatic amused
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,based on novel or book orcs elves dwarf horseback riding sword burglar legend riddle mountain travel troll creature thunderstorm fantasy world wizard epic battle lost ring journey goblin tunnel underground lake buried treasure invisibility quest frantic good versus evil backstory epic fantasy fantasy creature dwarves epic quest
"Monsters, Inc.",Animation Comedy Family,monster panic cheating kidnapping door infant villain portal rivalry energy supply friends hijinks best friend chameleon family parallel world conveyor belt invisibility energy company conspirators
Toy Story,Animation Adventure Family Comedy,rescue friendship mission martial arts jealousy bullying elementary school rivalry anthropomorphism friends computer animation buddy walkie talkie toy car boy next door new toy neighborhood toy comes to life resourcefulness
The Revenant,Western Drama Adventure,rape based on novel or book parent child relationship winter child murder mountain grizzly bear wilderness gore native american forest based on true story liar fur trapping frontier remake revenge survival murder bear snow scalping nature wild west bear attack indian attack dead horse starvation 19th century wolves
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,superhero based on comic revenge vigilante leading man super power questioning philosophical dc extended universe (dceu) complex man vs man leading men hero vs hero
The Lion King,Family Animation Drama,father murder loss of loved one africa lion manipulation redemption musical uncle murder warthog shaman king scar family hyena meerkat nature mandrill powerful
Gladiator,Action Drama Adventure,epic gladiator rome italy arena senate roman empire parent child relationship emperor slavery ancient rome revenge battlefield slave auction historical fiction ancient world combat chariot philosopher barbarian horde 2nd century successor commodus maximus
The Truman Show,Comedy Drama,paranoia dystopia suspicion video surveillance deception hidden camera simulated reality  television producer tv show in film make believe
The Incredibles,Action Adventure Animation Family,island hero secret identity superhero wretch cartoon lawsuit family relationships super power 1950s 1960s superhero family
Arrival,Drama Science Fiction Mystery,spacecraft loss time alien language female protagonist scientist heartbreak based on short story military alien language linguist first contact communication linguistics time-manipulation time manipulation
Parasite,Comedy Thriller Drama,dark comedy private lessons birthday party con artist working class psychological thriller class differences housekeeper tutor family crime family unemployed satirical desperate wealthy family complex south korea seoul south korea critical egotistical hilarious intense baffled callous dubious farcical mean spirited straightforward urgent
Thor: The Dark World,Action Adventure Fantasy,superhero based on comic hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) mythological place
The Amazing Spider-Man,Action Adventure Fantasy,experiment loss of loved one superhero based on comic vigilante teenage girl violent death teenage boy super power spider bite masked vigilante reboot genetic engineering social outcast death of husband duringcreditsstinger virus teen superhero teenage angst vigilante justice
Split,Horror Thriller,child abuse kidnapping gore sequel stalking teenage girl super power mental illness split personality multiple personality traumatic childhood dissociative identity disorder
Deadpool 2,Action Comedy Adventure,hero superhero mutant mercenary based on comic sequel aftercreditsstinger duringcreditsstinger
The Shining,Horror Thriller,hotel child abuse based on novel or book isolation telepathy delusion grave snowstorm colorado seclusion surrealism alcoholism premonition psychic power caretaker loneliness vision domestic violence postmodern psychological thriller writer electronic music score twins labyrinth cynical alcoholic blizzard mutilation bloody body of child extrasensory perception uxoricide motherhood filicide snowed in burial ground hypothermia haunted hotel psychological disintegration detached paranoid vexed afi frantic pediatrician repetition mother son relationship malicious supernatural power anxious supernatural horror ghost child psychotronic film writers-block cabin fever psychological horror negative deal with the devil nuclear family avant garde yosemite national park egotistical twin sisters identical twins arrogant assertive demeaning enraged frustrated harsh mean spirited sardonic
Kill Bill: Vol. 1,Action Crime,martial arts japan kung fu showdown coma sword asia yakuza bride sword fight revenge vigilante female yakuza animated scene wedding samurai sword eye patch retribution
The Hunger Games: Catching Fire,Adventure Action Science Fiction,rebellion based on novel or book propaganda dystopia games uprising sequel president survival murder conspiracy female protagonist tournament based on young adult novel
The Intouchables,Drama Comedy,friendship male friendship based on true story masseuse aristocrat paragliding interracial friendship unlikely friendship duringcreditsstinger quadriplegic quadriplegia loving feel good intouchables
Get Out,Mystery Thriller Horror,kidnapping externally controlled action manipulation dark comedy hypnosis parents-in-law satire racist revenge interracial relationship disappearance racism psychological thriller neurosurgeon missing person stereotype brain surgery race-conscious pretentious
The Imitation Game,History Drama Thriller War,england homophobia world war ii mathematician genius biography male homosexuality code breaking lgbt logician cryptography math genius gay theme codes
Bohemian Rhapsody,Music Drama History,london england aids musician 1970s queen biography based on true story singer hiv male homosexuality fame rock band lgbt 1980s gay theme music movie
The Green Mile,Fantasy Drama Crime,mentally disabled based on novel or book southern usa psychopath death row jail guard supernatural great depression prison guard jail electric chair torture magic realism healing 1930s abuse of power
The Maze Runner,Action Mystery Science Fiction Thriller,based on novel or book escape dystopia maze post-apocalyptic future memory loss erased memory trapped runner based on young adult novel
The Hangover,Comedy,blackjack stag night lost weekend chapel hit with tire iron memory loss las vegas drugs
The Empire Strikes Back,Adventure Action Science Fiction,rebellion android spacecraft asteroid rebel space battle snowstorm space colony swamp space opera artic
Shrek,Animation Comedy Fantasy Adventure Family,princess magic fairy tale donkey liberation lordship prince castle robin hood enchantment swamp parody anthropomorphism dragon woman director ogre cartoon donkey shrek cinematic universe
Ratatouille,Animation Comedy Family Fantasy,work sibling relationship paris france expensive restaurant river confidence evacuation mouse leaving one's family restaurant critic spice cookbook food chef sewer unlikely friendship rat french cuisine
Kingsman: The Secret Service,Crime Comedy Action Adventure,great britain spy secret organization secret agent based on comic united kingdom duringcreditsstinger spy universe
La La Land,Comedy Drama Romance Music,dancing dance jazz musical ambition casting coffee shop jazz club traffic jam hollywood los angeles california pianist pier audition planetarium aspiring actor movie set sunset one woman show pool party griffith observatory
Frozen,Animation Family Adventure Fantasy,princess magic mistake in person queen cartoon musical betrayal snowman reindeer curse snow troll based on children's book mountain climbing evil prince based on fairy tale aftercreditsstinger frozen woman director sister sister relationship relaxed magic land joyful
Dunkirk,War Action Drama,army beach france allies military officer world war ii evacuation pilot british army rescue mission europe based on true story royal navy survival historical fiction soldier private military dunkirk 1940s royal air force raf
Zootopia,Animation Adventure Family Comedy,sheep allegory lion hippopotamus cartoon bullying polar bear con artist anthropomorphism revenge conspiracy urban female protagonist rookie cop missing person racial prejudice injustice reconciliation buddy cop stereotype cartoon rabbit discrimination cartoon bear cartoon animal cartoon fox cartoon elephant
Lucy,Action Science Fiction,artificial intelligence (a.i.) telepathy intelligence drug mule telekinesis futuristic drugs super power tough girl surgery brain capacity synthetic drug human brain amused
Jurassic Park,Adventure Science Fiction,exotic island island triceratops brontosaurus electric fence dna tyrannosaurus rex paleontology dinosaur amusement park theme park
The Silence of the Lambs,Crime Drama Thriller,based on novel or book kidnapping psychopath fbi murder serial killer psychological thriller brutality cannibal moth virginia neo-noir
Spirited Away,Animation Family Fantasy,witch parent child relationship darkness bath house magic spirit parallel world amusement park youkai japanese mythology anime
Beauty and the Beast,Family Fantasy Romance,france magic fairy tale transformation cartoon castle musical remake curse creature 18th century beast live action and animation live action remake
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,witch daughter ship east india company exotic island bondage monster captain fortune teller compass sword fight pirate cannibal swashbuckler kraken aftercreditsstinger based on theme park ride
Big Hero 6,Adventure Family Animation Action Comedy,friendship martial arts hero sibling relationship san francisco california superhero talent cartoon based on comic revenge tokyo japan best friend another dimension robot east asian lead boy genius aftercreditsstinger moral dilemma teen superhero dead brother
Now You See Me,Thriller Crime,new york city paris france escape magic bank fbi vault new orleans louisiana investigation heist money conspiracy las vegas magician
The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,based on novel or book resistance dystopia post-apocalyptic future sequel female protagonist bow and arrow game future war revolt class prejudice human subjugation based on young adult novel
Venom,Science Fiction Action,spacecraft san francisco california superhero anti hero alien life-form based on comic aftercreditsstinger duringcreditsstinger business tycoon symbiote genetic experiment
The Prestige,Drama Mystery Science Fiction,dying and death suicide class society magic competition obsession hostility class diary twist tricks illusion rivalry partner steampunk cruelty hanging jail cell 19th century nikola tesla magician tesla coil bittersweet secret london mind-blowing depressing
I Am Legend,Drama Science Fiction Thriller,new york city saving the world based on novel or book dystopia post-apocalyptic future lost civilisation infection matter of life and death alone helplessness loneliness zombie virus pandemic pets
Saving Private Ryan,Drama History War,epic army airplane self sacrifice war veteran war crimes war ship bravery world war ii normandy france parachute troops waffen ss omaha beach rescue mission war memorial cowardice deserted town based on true story d-day soldier death military military operation 1940s
Captain Marvel,Action Adventure Science Fiction,superhero based on comic alien invasion super power female hero aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) woman director hero's journey 1990s alien technology
Baby Driver,Action Crime,robbery waitress atlanta crime boss romance heist getaway car on the run shootout bank robbery getaway driver sign languages armed robbery hearing impaired
Schindler's List,Drama History War,factory hero based on novel or book nazi concentration camp ss (nazi schutzstaffel) holocaust (shoah) world war ii ghetto jew persecution kraków poland defense industry auschwitz-birkenau concentration camp biography based on true story industrialist historical fiction black and white train poland weapons manufacturer absurd
Return of the Jedi,Adventure Action Science Fiction,spacecraft sibling relationship rebel emperor space battle matter of life and death forest desert space opera
Spider-Man: Far From Home,Action Adventure Science Fiction,venice italy superhero school trip europe based on comic sequel destruction aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) tower of london
Skyfall,Action Adventure Thriller,spy secret agent sociopath mi6 killer art gallery british secret service uzi booby trap impersonating a police officer macao komodo dragon
Gravity,Science Fiction Thriller Drama,space mission loss space astronaut space station trapped in space
X-Men: Days of Future Past,Action Adventure Science Fiction,1970s mutant time travel based on comic superhuman storm political intrigue  extinction beast claws aftercreditsstinger changing the past or future
Ready Player One,Adventure Action Science Fiction,future based on novel or book video game virtual reality dystopia nostalgia love film in film evil corporation quest 1980s 2040s based on young adult novel columbus ohio
World War Z,Action Drama Horror Science Fiction Thriller,philadelphia pennsylvania new jersey based on novel or book dystopia jerusalem israel apocalypse zombie epidemic nuclear weapons multiple perspectives zombie apocalypse virus
Catch Me If You Can,Drama Crime,fbi con man biography based on true story attempted jailbreak engagement party mislaid trust christmas bank fraud
Rogue One: A Star Wars Story,Action Adventure Science Fiction,rebellion spacecraft rebel space battle space travel prequel female protagonist space western suicide mission robot spin off space opera alien language against the odds blind man
Star Wars: The Last Jedi,Adventure Action Science Fiction,bunker space battle defeat failure sequel space opera military operation
Man of Steel,Action Adventure Science Fiction,saving the world flying hope superhero based on comic alien planet superhuman alien invasion super power mysterious force reboot save the day dc extended universe (dceu) save the planet origin story alien spaceship
Despicable Me,Family Animation Comedy,parent child relationship orphanage adoptive father life's dream rivalry ballet stealing little girl orphan tomboy intelligent evil doctor duringcreditsstinger supervillain despicable illumination minions
Spider-Man 2,Action Adventure Fantasy,new york city dual identity love of one's life secret identity superhero pizza boy based on comic sequel doctor scientist tentacle death super villain young adult
Spider-Man: Into the Spider-Verse,Action Adventure Animation Science Fiction,superhero based on comic aftercreditsstinger alternate universe
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,factory worker london england based on novel or book chocolate candy overweight child parent child relationship grandparent grandchild relationship teacher candy bar
Whiplash,Drama Music,new york city concert jazz obsession music teacher conservatory montage public humiliation jazz band young adult music school based on short film
The Departed,Drama Thriller Crime,police undercover boston massachusetts gangster irish-american crime boss friends remake mobster organized crime mafia undercover cop mole state police police training realtor
The Grand Budapest Hotel,Comedy Drama,hotel painting wartime eastern europe author gunfight theft bellboy mentor protégé relationship european hotel lobby renaissance painting 1960s 1930s
Toy Story 3,Animation Family Comedy,escape hostage college sequel buddy daycare teddy bear duringcreditsstinger toy comes to life personification inanimate objects come to life
Memento,Mystery Thriller,drug dealer amnesia insulin tattoo waitress insurance salesman motel manipulation flashback confusion revenge murder memory loss psychological thriller whodunit los angeles california polaroid based on short story nonlinear timeline individuality phone call neo-noir reverse chronology
Eternal Sunshine of the Spotless Mind,Science Fiction Drama Romance,new york city regret jealousy deja vu amnesia dream operation relationship problems love memory brainwashing relationship heartbreak nonlinear timeline 2000s
Léon: The Professional,Crime Drama Action,hotel room new york city immigrant assassin police brutality corruption s.w.a.t. hitman loss of loved one training revenge murder loneliness neighbor tragic love city life neo-noir complex relationship
Black Swan,Drama Thriller Horror,new york city dancing dancer nightmare competition obsession insanity paranoia hallucination ballet dancer ballet female protagonist psychological thriller fear heartbreak mental illness madness reality vs fantasy swan lake ballerina stage performance aggressive self-harm mother daughter relationship self destructiveness theater pointe shoes adoring melodramatic
V for Vendetta,Action Thriller Science Fiction,government detective revolution dystopia fascism fascist chancellor based on comic revenge torture hatred masked vigilante vengeful spirit activist vengeful
Star Wars: Episode I - The Phantom Menace,Adventure Action Science Fiction,galaxy senate taskmaster prophecy queen apprentice taxes space opera
Her,Romance Science Fiction Drama,future artificial intelligence (a.i.) computer satire love loneliness transhumanism los angeles california heartbreak singularity
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,east india company exotic island strong woman love of one's life afterlife traitor singapore shipwreck sword fight pirate monkey swashbuckler flying dutchman rum sailing ship aftercreditsstinger british navy mass hanging
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,corruption based on novel or book orcs elves dwarf dragon battle unlikely friendship epic battle sword and sorcery
Reservoir Dogs,Crime Thriller,escape jewelry psychopath traitor heist thief betrayal plan gone wrong gang nonlinear timeline warehouse told in flashback heist gone wrong botched robbery foreshadowing rendezvous iconic set in one room uneasy alliance rag tag group based on short film
The Hateful Eight,Drama Mystery Western,bounty hunter wyoming usa narration mountain hangman whodunit stagecoach blizzard post civil war 19th century
Alien,Horror Science Fiction,android spacecraft space marine biology dystopia countdown space suit beheading space travel cowardice alien space female protagonist parasite space opera cosmos xenomorph
Sherlock Holmes,Action Adventure Crime Mystery,london england based on novel or book detective scotland yard coffin pentagram black magic arrest partner murder serial killer steampunk whodunit buddy clue observation 19th century sherlock victorian era sherlock holmes sherlock films mystery
Alice in Wonderland,Family Fantasy Adventure,based on novel or book queen psychotic fantasy world disturbed insecure live action remake based on young adult novel mischievous absurd demeaning derogatory disdainful disgusted disheartening
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,sea ship mutiny captain spain england sword prime minister sailing mermaid duke silver pirate soldier battle swashbuckler 18th century aftercreditsstinger blackbeard 1750s
Spider-Man 3,Fantasy Action Adventure,amnesia dual identity love of one's life loss of loved one forgiveness hostility superhero sandstorm spider wretch sand narcissism egomania based on comic sequel revenge symbiote
A Quiet Place,Horror Drama Science Fiction,pregnancy fireworks deaf post-apocalyptic future alien life-form child in peril creature alien invasion parenting survival horror human vs alien sign languages anxious
Aquaman,Action Adventure Fantasy,hero chase atlantis superhero half-brother based on comic royalty underwater duringcreditsstinger quest dc extended universe (dceu) advanced civilization two worlds
Kill Bill: Vol. 2,Action Crime Thriller,daughter martial arts kung fu showdown right and justice rage and hate sibling relationship swordplay katana mother role single sword fight revenge vigilante retribution aftercreditsstinger duringcreditsstinger kill bill
Cars,Animation Adventure Comedy Family,friendship car race success route 66 porsche retirement road trip anthropomorphism rural area los angeles california aftercreditsstinger duringcreditsstinger
Toy Story 2,Animation Comedy Family,friendship airplane museum prosecution identity crisis flea market collector sequel buddy rescue team garage sale duringcreditsstinger toy comes to life personification inanimate objects come to life
Men in Black,Action Adventure Comedy Science Fiction,new york city cannon space marine flying saucer undercover secret identity superhero deportation illegal immigration new identity stay permit giant cockroach based on comic alien buddy cop fictional government agency
Edge of Tomorrow,Action Science Fiction,deja vu based on novel or book restart military officer dystopia training alien time loop soldier based on manga alien invasion war hero exoskeleton soldiers war
300,Action Adventure War,epic army narration blood splatter gore based on comic sword fight massacre ancient world based on graphic novel ancient greece warrior ancient warfare sparta greece 5th century bc war bloody death sparta spartans battle of thermopylae god king battle axe
Jumanji: Welcome to the Jungle,Adventure Action Comedy Fantasy,video game fighter sequel detention explorer based on movie gaming quest cartographer action hero zoologist based on young adult novel
